Affiliation(s),Alive,Dead,Total
Unknown,75,83,158
Night's Watch,31,40,71
Stark,36,39,75
Baratheon,17,30,47
Targaryen,15,26,41
Kingsguard,4,16,20
Lannister,16,13,29
Bolton,4,13,17
White Walkers,0,12,12
Greyjoy,3,10,13
Mance Rayder,3,10,13
Brotherhood Without Banners,1,8,9
Small Council,4,8,12
Queensguard,0,8,8
Martell,3,8,11
Order of Maesters,7,8,15
Faith of the Seven,5,7,12
Arryn,7,5,12
Great Masters,6,5,11
Thirteen,0,5,5
Tully,3,4,7
Moro,2,4,6
Faith Militant,0,4,4
Drogo,6,4,10
Frey,2,4,6
Good Masters,1,4,5
Varys,5,3,8
City Watch,4,3,7
Second Sons,1,3,4
Tyrell,1,3,4
,0,2,2
Jon Snow,2,2,4
Sparrows Faith Militant,0,2,2
Mutineers,0,2,2
Old Blood,0,2,2
Golden Company,0,2,2
Lord of Light,0,2,2
Uller,0,1,1
Whent,1,1,2
Clegane,2,1,3
Children of the Forest,1,1,2
Botley,1,1,2
Warlocks,1,1,2
Unsullied,2,1,3
Lorch,0,1,1
Ice-river clans,2,1,3
Bracken,0,1,1
Illyrio Mopatis,1,1,2
Yronwood,0,1,1
Wise Masters,2,1,3
Stannis Baratheon,0,1,1
Three-Eyed Raven,0,1,1
Xaro Xhoan Daxos,0,1,1
Smallwood,0,1,1
Petyr Baelish,9,1,10
Izembaro,4,1,5
Green khal,0,1,1
Faceless Men,2,1,3
Drowned Men,0,1,1
Daenerys Targaryen,0,1,1
Styr,0,1,1
Sons of the Harpy,1,1,2
Sealord of Braavos,0,1,1
Alchemists' Guild,1,0,1
Catelyn Stark,2,0,2
Burned Men,1,0,1
Bronn's house,1,0,1
Black Ears,1,0,1
Baelish,1,0,1
Loraq,1,0,1
Dosh Khaleen,3,0,3
Heddle family,1,0,1
Iron Bank of Braavos,1,0,1
Red Temple of Volantis,4,0,4
Stone Crows,1,0,1
Qyburn,2,0,2
Royce,3,0,3
Salladhor Saan,1,0,1
Sansa Stark,1,0,1
Tobho Mott,1,0,1
